experiment,algo,episode,distance
FOMAML,VPG,364,22.89
FOMAML,VPG,365,24.07
FOMAML,VPG,366,24.78
FOMAML,VPG,367,23.38
FOMAML,VPG,368,26.17
FOMAML,VPG,369,27.85
FOMAML,VPG,370,27.84
FOMAML,VPG,371,28.3
FOMAML,VPG,372,28.0
FOMAML,VPG,373,26.6
FOMAML,VPG,374,28.19
FOMAML,VPG,375,28.95
FOMAML,VPG,376,30.16
FOMAML,VPG,377,31.6
FOMAML,VPG,378,31.99
FOMAML,VPG,379,29.45
FOMAML,VPG,380,26.22
FOMAML,VPG,381,25.71
FOMAML,VPG,382,26.47
FOMAML,VPG,383,25.68
FOMAML,VPG,384,24.96
FOMAML,VPG,385,25.44
FOMAML,VPG,386,25.07
FOMAML,VPG,387,26.84
FOMAML,VPG,388,26.93
FOMAML,VPG,389,26.53
FOMAML,VPG,390,26.28
FOMAML,VPG,391,24.52
FOMAML,VPG,392,25.23
FOMAML,VPG,393,24.89
FOMAML,VPG,394,23.74
FOMAML,VPG,395,23.29
FOMAML,VPG,396,25.29
FOMAML,VPG,397,26.27
FOMAML,VPG,398,26.94
FOMAML,VPG,399,26.38
FOMAML,VPG,400,25.83
FOMAML,VPG,401,27.04
FOMAML,VPG,402,24.04
FOMAML,VPG,403,23.6
FOMAML,VPG,404,23.77
FOMAML,VPG,405,23.2
FOMAML,VPG,406,21.78
FOMAML,VPG,407,23.23
FOMAML,VPG,408,25.65
FOMAML,VPG,409,25.82
FOMAML,VPG,410,23.91
FOMAML,VPG,411,23.57
FOMAML,VPG,412,21.53
FOMAML,VPG,413,22.27
FOMAML,VPG,414,25.15
FOMAML,VPG,415,23.55
FOMAML,VPG,416,23.85
FOMAML,VPG,417,23.39
FOMAML,VPG,418,23.48
FOMAML,VPG,419,24.25
FOMAML,VPG,420,23.73
FOMAML,VPG,421,24.38
FOMAML,VPG,422,23.54
FOMAML,VPG,423,23.02
FOMAML,VPG,424,23.49
FOMAML,VPG,425,23.25
FOMAML,VPG,426,23.16
FOMAML,VPG,427,23.94
FOMAML,VPG,428,23.01
FOMAML,VPG,429,25.35
FOMAML,VPG,430,24.71
FOMAML,VPG,431,23.89
FOMAML,VPG,432,23.23
FOMAML,VPG,433,23.75
FOMAML,VPG,434,24.12
FOMAML,VPG,435,24.75
FOMAML,VPG,436,26.77
FOMAML,VPG,437,29.32
FOMAML,VPG,438,33.21
FOMAML,VPG,439,37.57
FOMAML,VPG,440,33.63
FOMAML,VPG,441,23.76
FOMAML,VPG,442,21.43
FOMAML,VPG,443,21.01
FOMAML,VPG,444,21.17
FOMAML,VPG,445,21.93
FOMAML,VPG,446,21.51
FOMAML,VPG,447,21.5
FOMAML,VPG,448,21.65
FOMAML,VPG,449,21.67
FOMAML,VPG,450,22.06
FOMAML,VPG,451,21.75
FOMAML,VPG,452,22.87
FOMAML,VPG,453,23.19
FOMAML,VPG,454,21.85
FOMAML,VPG,455,21.64
FOMAML,VPG,456,21.61
FOMAML,VPG,457,22.19
FOMAML,VPG,458,21.56
FOMAML,VPG,459,19.99
FOMAML,VPG,460,20.15
FOMAML,VPG,461,20.36
FOMAML,VPG,462,20.52
FOMAML,VPG,463,23.74
FOMAML,VPG,464,24.39
FOMAML,VPG,465,25.02
FOMAML,VPG,466,23.03
FOMAML,VPG,467,23.77
FOMAML,VPG,468,28.09
FOMAML,VPG,469,32.23
FOMAML,VPG,470,28.87
FOMAML,VPG,471,25.36
FOMAML,VPG,472,24.49
FOMAML,VPG,473,24.01
FOMAML,VPG,474,24.43
FOMAML,VPG,475,26.75
FOMAML,VPG,476,24.36
FOMAML,VPG,477,22.37
FOMAML,VPG,478,21.45
FOMAML,VPG,479,20.41
FOMAML,VPG,480,21.08
FOMAML,VPG,481,19.87
FOMAML,VPG,482,21.16
FOMAML,VPG,483,21.52
FOMAML,VPG,484,21.37
FOMAML,VPG,485,21.91
FOMAML,VPG,486,22.82
FOMAML,VPG,487,23.8
FOMAML,VPG,488,24.57
FOMAML,VPG,489,24.42
FOMAML,VPG,490,24.4
FOMAML,VPG,491,23.55
FOMAML,VPG,492,23.54
FOMAML,VPG,493,22.77
FOMAML,VPG,494,22.15
FOMAML,VPG,495,21.86
FOMAML,VPG,496,21.61
FOMAML,VPG,497,21.31
