experiment,algo,episode,distance,time
lean_by_difficulty,VPG,586,0.17,0
lean_by_difficulty,VPG,587,0.03,0
lean_by_difficulty,VPG,588,0.01,0
lean_by_difficulty,VPG,589,0.22,0
lean_by_difficulty,VPG,590,0.25,0
lean_by_difficulty,VPG,591,0.41,0
lean_by_difficulty,VPG,592,0.17,0
lean_by_difficulty,VPG,593,0.39,0
lean_by_difficulty,VPG,594,0.33,0
lean_by_difficulty,VPG,595,0.45,0
lean_by_difficulty,VPG,596,0.74,0
lean_by_difficulty,VPG,597,0.14,0
lean_by_difficulty,VPG,598,0.14,0
lean_by_difficulty,VPG,599,0.56,0
lean_by_difficulty,VPG,600,0.27,0
lean_by_difficulty,VPG,601,0.11,0
lean_by_difficulty,VPG,602,0.28,0
lean_by_difficulty,VPG,603,0.38,0
lean_by_difficulty,VPG,604,0.1,0
lean_by_difficulty,VPG,605,0,0
lean_by_difficulty,VPG,606,0.18,0
lean_by_difficulty,VPG,607,0.32,0
lean_by_difficulty,VPG,608,0.38,0
lean_by_difficulty,VPG,609,0,0
lean_by_difficulty,VPG,610,0.15,0
lean_by_difficulty,VPG,611,0.09,0
lean_by_difficulty,VPG,612,0.18,0
lean_by_difficulty,VPG,613,0,0
lean_by_difficulty,VPG,614,0.24,0
lean_by_difficulty,VPG,615,0.21,0
lean_by_difficulty,VPG,616,0.26,0
lean_by_difficulty,VPG,617,0.15,0
lean_by_difficulty,VPG,618,0,0
lean_by_difficulty,VPG,619,0.17,0
lean_by_difficulty,VPG,620,0.16,0
lean_by_difficulty,VPG,621,0.08,0
lean_by_difficulty,VPG,622,0.24,0
lean_by_difficulty,VPG,623,0,0
lean_by_difficulty,VPG,624,0,0
lean_by_difficulty,VPG,625,0.66,0
lean_by_difficulty,VPG,626,0.23,0
lean_by_difficulty,VPG,627,0.08,0
lean_by_difficulty,VPG,628,0.51,0
lean_by_difficulty,VPG,629,0,0
lean_by_difficulty,VPG,630,0.02,0
lean_by_difficulty,VPG,631,0.21,0
lean_by_difficulty,VPG,632,0.3,0
lean_by_difficulty,VPG,633,0.28,0
lean_by_difficulty,VPG,634,0.35,0
