experiment,algo,episode,distance
original,VPG,516,39.13
original,VPG,517,35.08
original,VPG,518,33.26
original,VPG,519,20.59
original,VPG,520,36.48
original,VPG,521,37.78
original,VPG,522,39.79
original,VPG,523,34.27
original,VPG,524,40.79
original,VPG,525,18.4
original,VPG,526,38.74
original,VPG,527,40.99
original,VPG,528,38.61
original,VPG,529,23.6
original,VPG,530,26.24
original,VPG,531,40.91
original,VPG,532,38.35
original,VPG,533,39.64
original,VPG,534,38.95
original,VPG,535,41.82
original,VPG,536,23.98
original,VPG,537,38.49
original,VPG,538,38.66
original,VPG,539,40.72
original,VPG,540,33.77
original,VPG,541,33.42
original,VPG,542,32.72
original,VPG,543,39.91
original,VPG,544,38.98
original,VPG,545,36.81
original,VPG,546,40.68
original,VPG,547,40.67
original,VPG,548,34.14
original,VPG,549,45.21
original,VPG,550,40.69
original,VPG,551,23.25
original,VPG,552,34.69
original,VPG,553,23.41
original,VPG,554,35.46
original,VPG,555,40.76
original,VPG,556,36.68
original,VPG,557,36.59
original,VPG,558,34.75
original,VPG,559,35.83
original,VPG,560,38.71
original,VPG,561,35.22
original,VPG,562,42.14
original,VPG,563,23.04
original,VPG,564,39.13
original,VPG,565,35.77
original,VPG,566,37.31
original,VPG,567,35.46
original,VPG,568,34.28
original,VPG,569,36.09
original,VPG,570,35.99
original,VPG,571,21.72
original,VPG,572,22.2
original,VPG,573,33.5
original,VPG,574,35.46
original,VPG,575,20.31
original,VPG,576,33.32
original,VPG,577,17.41
original,VPG,578,20.17
original,VPG,579,18.22
original,VPG,580,22.91
original,VPG,581,16.57
original,VPG,582,20.02
original,VPG,583,36.36
original,VPG,584,31.06
original,VPG,585,18.41
original,VPG,586,17.8
original,VPG,587,18.61
original,VPG,588,22.9
original,VPG,589,22.18
original,VPG,590,17.89
original,VPG,591,28.33
original,VPG,592,22.11
original,VPG,593,24.92
original,VPG,594,17.5
original,VPG,595,18.47
original,VPG,596,21.83
original,VPG,597,22.4
original,VPG,598,20.06
original,VPG,599,31.95
original,VPG,600,18.58
original,VPG,601,21.76
original,VPG,602,20.66
original,VPG,603,22.05
original,VPG,604,19.84
original,VPG,605,29.61
original,VPG,606,17.91
original,VPG,607,28.36
original,VPG,608,30.92
original,VPG,609,26.53
original,VPG,610,22.71
original,VPG,611,30.82
original,VPG,612,28.11
original,VPG,613,22.81
original,VPG,614,28.27
original,VPG,615,31.04
original,VPG,616,15.98
original,VPG,617,23.05
original,VPG,618,35.06
original,VPG,619,19.84
original,VPG,620,32.06
original,VPG,621,34.48
original,VPG,622,34.35
original,VPG,623,21.81
original,VPG,624,20.71
original,VPG,625,31.0
original,VPG,626,17.27
original,VPG,627,30.76
original,VPG,628,18.51
original,VPG,629,23.27
original,VPG,630,33.6
original,VPG,631,25.63
original,VPG,632,19.11
original,VPG,633,26.0
original,VPG,634,29.47
original,VPG,635,22.08
original,VPG,636,26.08
original,VPG,637,18.35
original,VPG,638,27.59
original,VPG,639,22.55
original,VPG,640,19.66
original,VPG,641,23.78
original,VPG,642,29.76
original,VPG,643,27.63
original,VPG,644,27.92
original,VPG,645,26.05
original,VPG,646,18.01
original,VPG,647,25.78
original,VPG,648,28.46
original,VPG,649,29.75
original,VPG,650,17.76
original,VPG,651,24.44
original,VPG,652,22.84
original,VPG,653,36.8
original,VPG,654,30.46
original,VPG,655,20.93
original,VPG,656,31.46
original,VPG,657,34.72
original,VPG,658,30.24
original,VPG,659,30.26
original,VPG,660,30.8
original,VPG,661,19.67
original,VPG,662,33.11
original,VPG,663,30.47
original,VPG,664,35.44
original,VPG,665,20.89
original,VPG,666,29.37
original,VPG,667,31.36
original,VPG,668,29.04
original,VPG,669,19.94
original,VPG,670,36.86
original,VPG,671,34.84
original,VPG,672,37.74
original,VPG,673,30.45
original,VPG,674,27.15
original,VPG,675,31.83
original,VPG,676,33.45
original,VPG,677,31.38
original,VPG,678,21.54
original,VPG,679,33.86
original,VPG,680,20.77
original,VPG,681,33.97
original,VPG,682,34.99
original,VPG,683,34.37
original,VPG,684,35.41
original,VPG,685,34.18
original,VPG,686,35.43
original,VPG,687,37.39
original,VPG,688,35.01
original,VPG,689,24.05
original,VPG,690,34.68
original,VPG,691,34.26
original,VPG,692,39.26
original,VPG,693,38.74
original,VPG,694,23.6
original,VPG,695,39.6
original,VPG,696,34.03
original,VPG,697,37.53
original,VPG,698,39.21
original,VPG,699,39.52
original,VPG,700,37.98
original,VPG,701,39.73
original,VPG,702,37.74
original,VPG,703,36.25
original,VPG,704,35.21
original,VPG,705,24.84
original,VPG,706,36.7
original,VPG,707,36.61
original,VPG,708,38.29
original,VPG,709,35.3
original,VPG,710,36.02
original,VPG,711,35.85
original,VPG,712,23.16
original,VPG,713,35.16
original,VPG,714,38.48
original,VPG,715,37.76
original,VPG,716,37.91
original,VPG,717,38.63
original,VPG,718,23.85
original,VPG,719,36.7
original,VPG,720,36.62
original,VPG,721,33.95
original,VPG,722,37.98
original,VPG,723,38.19
original,VPG,724,40.14
original,VPG,725,35.57
original,VPG,726,25.9
original,VPG,727,37.24
original,VPG,728,38.21
original,VPG,729,33.72
original,VPG,730,21.01
original,VPG,731,20.94
original,VPG,732,36.24
original,VPG,733,36.81
original,VPG,734,23.97
original,VPG,735,33.24
original,VPG,736,21.9
original,VPG,737,32.09
original,VPG,738,24.26
original,VPG,739,22.59
original,VPG,740,37.1
original,VPG,741,30.65
original,VPG,742,31.74
original,VPG,743,33.54
original,VPG,744,25.45
original,VPG,745,30.87
original,VPG,746,23.26
original,VPG,747,33.09
original,VPG,748,21.77
original,VPG,749,19.3
original,VPG,750,30.59
original,VPG,751,18.35
original,VPG,752,20.5
original,VPG,753,25.29
